,DrugName,ActiveIngredient
0,PAREDRINE,HYDROXYAMPHETAMINE HYDROBROMIDE
1,SULFAPYRIDINE,SULFAPYRIDINE
2,LIQUAEMIN SODIUM,HEPARIN SODIUM
3,LIQUAEMIN LOCK FLUSH,HEPARIN SODIUM
4,HEPARIN SODIUM,HEPARIN SODIUM
5,LIQUAEMIN SODIUM PRESERVATIVE FREE,HEPARIN SODIUM
6,HISTAMINE PHOSPHATE,HISTAMINE PHOSPHATE
7,BUTISOL SODIUM,BUTABARBITAL SODIUM
8,DOCA,DESOXYCORTICOSTERONE ACETATE
9,VERARD,VERARD
10,GUANIDINE HYDROCHLORIDE,GUANIDINE HYDROCHLORIDE
11,MENADIONE,MENADIONE
12,INULIN AND SODIUM CHLORIDE,INULIN
13,AMINOPHYLLIN,AMINOPHYLLINE
14,BENSULFOID,SULFUR
15,ORETON METHYL,METHYLTESTOSTERONE
16,METANDREN,METHYLTESTOSTERONE
17,PITRESSIN TANNATE,VASOPRESSIN TANNATE
18,DRISDOL,ERGOCALCIFEROL
19,SYNKAYVITE,MENADIOL SODIUM DIPHOSPHATE
20,THEELIN,ESTRONE
21,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL
22,SULFADIAZINE,SULFADIAZINE
23,SULFADIAZINE SODIUM,SULFADIAZINE SODIUM
24,STILBESTROL,DIETHYLSTILBESTROL
25,STILBETIN,DIETHYLSTILBESTROL
26,ALCOHOL 5% AND DEXTROSE 5%,ALCOHOL; DEXTROSE
27,PREMARIN,"ESTROGENS, CONJUGATED"
28,DEMEROL,MEPERIDINE HYDROCHLORIDE
29,PERCORTEN,DESOXYCORTICOSTERONE ACETATE
30,HYCODAN,HOMATROPINE METHYLBROMIDE; HYDROCODONE BITARTRATE
31,PANHEPRIN,HEPARIN SODIUM
32,HEPARIN LOCK FLUSH,HEPARIN SODIUM
33,HEPARIN SODIUM PRESERVATIVE FREE,HEPARIN SODIUM
34,ESTINYL,ETHINYL ESTRADIOL
35,PANTOPAQUE,IOPHENDYLATE
36,DESOXYN,METHAMPHETAMINE HYDROCHLORIDE
37,LYNORAL,ETHINYL ESTRADIOL
38,DICUMAROL,DICUMAROL
39,AMINOHIPPURATE SODIUM,AMINOHIPPURATE SODIUM
40,MANNITOL 25%,MANNITOL
41,TUBOCURARINE CHLORIDE,TUBOCURARINE CHLORIDE
42,VERTAVIS,VERATRUM VIRIDE ROOT
43,KAPPADIONE,MENADIOL SODIUM DIPHOSPHATE
44,SULTRIN,TRIPLE SULFA (SULFABENZAMIDE;SULFACETAMIDE;SULFATHIAZOLE)
45,FURACIN,NITROFURAZONE
46,BENADRYL,DIPHENHYDRAMINE HYDROCHLORIDE
47,TRIDIONE,TRIMETHADIONE
48,FOLVITE,FOLIC ACID
49,PBZ,TRIPELENNAMINE HYDROCHLORIDE
50,PBZ,TRIPELENNAMINE CITRATE
51,D.H.E. 45,DIHYDROERGOTAMINE MESYLATE
52,AMINOSOL 5%,PROTEIN HYDROLYSATE
53,BAL,DIMERCAPROL
54,SODIUM SULAMYD,SULFACETAMIDE SODIUM
55,SOTRADECOL,SODIUM TETRADECYL SULFATE
56,ARALEN,CHLOROQUINE PHOSPHATE
57,ARALEN HYDROCHLORIDE,CHLOROQUINE HYDROCHLORIDE
58,MESANTOIN,MEPHENYTOIN
59,FOLVRON,FERROUS SULFATE; FOLIC ACID
60,METHERGINE,METHYLERGONOVINE MALEATE
61,DIASONE SODIUM,SULFOXONE SODIUM
62,BEROCCA PN,ASCORBIC ACID; BIOTIN; CYANOCOBALAMIN; DEXPANTHENOL; ERGOCALCIFEROL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A PALMITATE; VITAMIN E
63,DIENESTROL,DIENESTROL
64,DOLOPHINE HYDROCHLORIDE,METHADONE HYDROCHLORIDE
65,FOLIC ACID,FOLIC ACID
66,HYPROTIGEN 5%,PROTEIN HYDROLYSATE
67,PROPYLTHIOURACIL,PROPYLTHIOURACIL
68,HEAVY SOLUTION NUPERCAINE,DIBUCAINE HYDROCHLORIDE
69,GAMOPHEN,HEXACHLOROPHENE
70,KWELL,LINDANE
71,SULFONAMIDES DUPLEX,SULFADIAZINE; SULFAMERAZINE
72,NEOTRIZINE,TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE)
73,ISUPREL,ISOPROTERENOL HYDROCHLORIDE
