Drug,Recommendation,Rationale,Standardized,ExStandardized
Brompheniramine,Avoid,"Highly anticholinergic; clearance reduced with advanced age, and tolerance develops when used as hypnotic; risk of confusion, dry mouth, constipation, and other anticholinergic effects or toxicity","[""DEXBROMPHENIRAMINE MALEATE AND PSEUDOEPHEDRINE SULFATE"", ""BROMPHENIRAMINE MALEATE"", ""BROMPHENIRAMINE MALEATE; DEXTROMETHORPHAN HYDROBROMIDE; PSEUDOEPHEDRINE HYDROCHLORIDE"", ""BROMPHENIRAMINE MALEATE; PSEUDOEPHEDRINE HYDROCHLORIDE"", ""DEXBROMPHENIRAMINE MALEATE"", ""DEXBROMPHENIRAMINE MALEATE; PSEUDOEPHEDRINE SULFATE"", ""EFIDAC 24 PSEUDOEPHEDRINE HYDROCHLORIDE/BROMPHENIRAMINE MALEATE"", ""ACETAMINOPHEN; DEXBROMPHENIRAMINE MALEATE; PSEUDOEPHEDRINE SULFATE"", ""BROMPHENIRAMINE MALEATE, PSEUDOEPHEDRINE HYDROCHLORIDE AND DEXTROMETHORPHAN HYDROBROMIDE""]",BROMPHENIRAMINE
Carbinoxamine,Avoid,"Highly anticholinergic; clearance reduced with advanced age, and tolerance develops when used as hypnotic; risk of confusion, dry mouth, constipation, and other anticholinergic effects or toxicity","[""CARBINOXAMINE MALEATE""]",CARBINOXAMINE
Chlorpheniramine,Avoid,"Highly anticholinergic; clearance reduced with advanced age, and tolerance develops when used as hypnotic; risk of confusion, dry mouth, constipation, and other anticholinergic effects or toxicity","[""CHLORPHENIRAMINE MALEATE"", ""CHLORPHENIRAMINE MALEATE; PSEUDOEPHEDRINE SULFATE"", ""CHLORPHENIRAMINE POLISTIREX; PHENYLPROPANOLAMINE POLISTIREX"", ""EFIDAC 24 CHLORPHENIRAMINE MALEATE"", ""HYDROCODONE POLISTIREX AND CHLORPHENIRAMINE POLISTIREX"", ""CHLORPHENIRAMINE MALEATE; HYDROCODONE BITARTRATE"", ""HYDROCODONE BITARTRATE AND CHLORPHENIRAMINE MALEATE"", ""CHLORPHENIRAMINE POLISTIREX; CODEINE POLISTIREX"", ""CHLORPHENIRAMINE MALEATE; HYDROCODONE BITARTRATE; PSEUDOEPHEDRINE HYDROCHLORIDE"", ""PSEUDOEPHEDRINE HYDROCHLORIDE AND CHLORPHENIRAMINE MALEATE"", ""CHLORPHENIRAMINE MALEATE; PHENYLPROPANOLAMINE HYDROCHLORIDE"", ""HYDROCODONE BITARTRATE, CHLORPHENIRAMINE MALEATE AND PSEUDOEPHEDRINE HYDROCHLORIDE"", ""DEXCHLORPHENIRAMINE MALEATE"", ""CHLORPHENIRAMINE MALEATE; IBUPROFEN; PSEUDOEPHEDRINE HYDROCHLORIDE"", ""CHLORPHENIRAMINE POLISTIREX; HYDROCODONE POLISTIREX"", ""CHLORPHENIRAMINE MALEATE; IBUPROFEN; PHENYLEPHRINE HYDROCHLORIDE"", ""CHLORPHENIRAMINE MALEATE; CODEINE PHOSPHATE"", ""CHLORPHENIRAMINE MALEATE; PSEUDOEPHEDRINE HYDROCHLORIDE""]",CHLORPHENIRAMINE
Clemastine,Avoid,"Highly anticholinergic; clearance reduced with advanced age, and tolerance develops when used as hypnotic; risk of confusion, dry mouth, constipation, and other anticholinergic effects or toxicity","[""CLEMASTINE FUMARATE"", ""ACETAMINOPHEN; CLEMASTINE FUMARATE; PSEUDOEPHEDRINE HYDROCHLORIDE""]",CLEMASTINE
Cyproheptadine,Avoid,"Highly anticholinergic; clearance reduced with advanced age, and tolerance develops when used as hypnotic; risk of confusion, dry mouth, constipation, and other anticholinergic effects or toxicity","[""CYPROHEPTADINE HYDROCHLORIDE""]",CYPROHEPTADINE
Dexbrompheniramine,Avoid,"Highly anticholinergic; clearance reduced with advanced age, and tolerance develops when used as hypnotic; risk of confusion, dry mouth, constipation, and other anticholinergic effects or toxicity","[""ACETAMINOPHEN; DEXBROMPHENIRAMINE MALEATE; PSEUDOEPHEDRINE SULFATE"", ""DEXBROMPHENIRAMINE MALEATE AND PSEUDOEPHEDRINE SULFATE"", ""DEXBROMPHENIRAMINE MALEATE"", ""DEXBROMPHENIRAMINE MALEATE; PSEUDOEPHEDRINE SULFATE""]",DEXBROMPHENIRAMINE
Dexchlorpheniramine,Avoid,"Highly anticholinergic; clearance reduced with advanced age, and tolerance develops when used as hypnotic; risk of confusion, dry mouth, constipation, and other anticholinergic effects or toxicity","[""DEXCHLORPHENIRAMINE MALEATE""]",CHLORPHENIRAMINE
Dimenhydrinate,Avoid,"Highly anticholinergic; clearance reduced with advanced age, and tolerance develops when used as hypnotic; risk of confusion, dry mouth, constipation, and other anticholinergic effects or toxicity","[""DIMENHYDRINATE""]",DIMENHYDRINATE
Diphenhydramine (oral),Avoid. Use of diphenhydramine in situations such as acute treatment of severe allergic reaction may be appropriate,"Highly anticholinergic; clearance reduced with advanced age, and tolerance develops when used as hypnotic; risk of confusion, dry mouth, constipation, and other anticholinergic effects or toxicity",[],DIPHENHYDRAMINE
Doxylamine,Avoid,"Highly anticholinergic; clearance reduced with advanced age, and tolerance develops when used as hypnotic; risk of confusion, dry mouth, constipation, and other anticholinergic effects or toxicity","[""DOXYLAMINE SUCCINATE"", ""DOXYLAMINE SUCCINATE AND PYRIDOXINE HYDROCHLORIDE"", ""DOXYLAMINE SUCCINATE; PYRIDOXINE HYDROCHLORIDE""]",DOXYLAMINE
