Drug,Rationale,Recommendation
Aspirin for primary prevention of cardiovascular disease and colorectal cancer,"Risk of major bleeding from aspirin increases markedly in older age. Several studies suggest lack of net benefit when used for primary prevention in older adult with cardiovascular risk factors, but evidence is not conclusive. Aspirin is generally indicated for secondary prevention in older adults with established cardiovascular disease",Use with caution in adults ≥70 years
Dabigatran,Increased risk of gastrointestinal bleeding compared with warfarin and reported rates with other direct oral anticoagulants when used for long-term treatment of VTE or atrial fibrillation in adults ≥75 years,Use with caution for treatment of VTE or atrial fibrillation in adults ≥75 years
Rivaroxaban,Increased risk of gastrointestinal bleeding compared with warfarin and reported rates with other direct oral anticoagulants when used for long-term treatment of VTE or atrial fibrillation in adults ≥75 years,Use with caution in adults ≥75 years
Prasugrel,"Increased risk of bleeding in older adults; benefit in highest-risk older adults (eg, those with prior myocardial infarction or diabetes mellitus) may offset risk when used for its approved indication of acute coronary syndrome to be managed with percutaneous coronary intervention",Use with caution
Chlorpromazine,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Droperidol,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Fluphenazine,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Haloperidol,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Loxapine,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Perphenazine,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Pimozide,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Prochlorperazine,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Thioridazine,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Thiothixene,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Trifluoperazine,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Aripiprazole,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Asenapine,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Clozapine,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Iloperidone,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Lurasidone,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Olanzapine,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Paliperidone,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Quetiapine,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Risperidone,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Ziprasidone,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Pimavanserin,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Carbamazepine,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Chlorothiazide,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Chlorthalidone,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Indapamide,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Hydrochlorothiazide,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Methyclothiazide,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Metolazone,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Bumetanide,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Furosemide,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Ethacrynate,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
