Unnamed: 0,Drug,Recommendation,Rationale,Creatinine Clearance,Condition,ExStandardized
0,Brompheniramine,Avoid,"Highly anticholinergic; clearance reduced with advanced age, and tolerance develops when used as hypnotic; risk of confusion, dry mouth, constipation, and other anticholinergic effects or toxicity",,,BROMPHENIRAMINE
1,Carbinoxamine,Avoid,"Highly anticholinergic; clearance reduced with advanced age, and tolerance develops when used as hypnotic; risk of confusion, dry mouth, constipation, and other anticholinergic effects or toxicity",,,CARBINOXAMINE
2,Chlorpheniramine,Avoid,"Highly anticholinergic; clearance reduced with advanced age, and tolerance develops when used as hypnotic; risk of confusion, dry mouth, constipation, and other anticholinergic effects or toxicity",,,CHLORPHENIRAMINE
3,Clemastine,Avoid,"Highly anticholinergic; clearance reduced with advanced age, and tolerance develops when used as hypnotic; risk of confusion, dry mouth, constipation, and other anticholinergic effects or toxicity",,,CLEMASTINE
4,Cyproheptadine,Avoid,"Highly anticholinergic; clearance reduced with advanced age, and tolerance develops when used as hypnotic; risk of confusion, dry mouth, constipation, and other anticholinergic effects or toxicity",,,CYPROHEPTADINE
5,Dexbrompheniramine,Avoid,"Highly anticholinergic; clearance reduced with advanced age, and tolerance develops when used as hypnotic; risk of confusion, dry mouth, constipation, and other anticholinergic effects or toxicity",,,DEXBROMPHENIRAMINE
6,Dexchlorpheniramine,Avoid,"Highly anticholinergic; clearance reduced with advanced age, and tolerance develops when used as hypnotic; risk of confusion, dry mouth, constipation, and other anticholinergic effects or toxicity",,,CHLORPHENIRAMINE
7,Dimenhydrinate,Avoid,"Highly anticholinergic; clearance reduced with advanced age, and tolerance develops when used as hypnotic; risk of confusion, dry mouth, constipation, and other anticholinergic effects or toxicity",,,DIMENHYDRINATE
8,Diphenhydramine (oral),Avoid. Use of diphenhydramine in situations such as acute treatment of severe allergic reaction may be appropriate,"Highly anticholinergic; clearance reduced with advanced age, and tolerance develops when used as hypnotic; risk of confusion, dry mouth, constipation, and other anticholinergic effects or toxicity",,,DIPHENHYDRAMINE
9,Doxylamine,Avoid,"Highly anticholinergic; clearance reduced with advanced age, and tolerance develops when used as hypnotic; risk of confusion, dry mouth, constipation, and other anticholinergic effects or toxicity",,,DOXYLAMINE
10,Hydroxyzine,Avoid,"Highly anticholinergic; clearance reduced with advanced age, and tolerance develops when used as hypnotic; risk of confusion, dry mouth, constipation, and other anticholinergic effects or toxicity",,,HYDROXYZINE
11,Meclizine,Avoid,"Highly anticholinergic; clearance reduced with advanced age, and tolerance develops when used as hypnotic; risk of confusion, dry mouth, constipation, and other anticholinergic effects or toxicity",,,MECLIZINE
12,Promethazine,Avoid,"Highly anticholinergic; clearance reduced with advanced age, and tolerance develops when used as hypnotic; risk of confusion, dry mouth, constipation, and other anticholinergic effects or toxicity",,,PROMETHAZINE
13,Pyrilamine,Avoid,"Highly anticholinergic; clearance reduced with advanced age, and tolerance develops when used as hypnotic; risk of confusion, dry mouth, constipation, and other anticholinergic effects or toxicity",,,MEPYRAMINE
14,Triprolidine,Avoid,"Highly anticholinergic; clearance reduced with advanced age, and tolerance develops when used as hypnotic; risk of confusion, dry mouth, constipation, and other anticholinergic effects or toxicity",,,TRIPROLIDINE
15,Benztropine (oral),Avoid,Not recommended for prevention or treatment of extrapyramidal symptoms with antipsychotics; more effective agents available for treatment of Parkinson disease,,,BENZATROPINE
16,Trihexyphenidyl,Avoid,Not recommended for prevention or treatment of extrapyramidal symptoms with antipsychotics; more effective agents available for treatment of Parkinson disease,,,TRIHEXYPHENIDYL
17,Atropine (excludes ophthalmic),Avoid,"Highly anticholinergic, uncertain effectivenes",,,ATROPINE
18,Belladonna alkaloids,Avoid,"Highly anticholinergic, uncertain effectivenes",,,BELLADONNA ALKALOIDS
19,Ipratropium,Avoid,"Highly anticholinergic, uncertain effectivenes",,,IPRATROPIUM BROMIDE
