Drug,Condition,Recommendation,Rationale
Cilostazol,Heart failure with preserved ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)"
Aspirin,Heart failure with preserved ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)"
Diclofenac,Heart failure with preserved ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)"
Diflunisal,Heart failure with preserved ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)"
Etodolac,Heart failure with preserved ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)"
Fenoprofen,Heart failure with preserved ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)"
Ibuprofen,Heart failure with preserved ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)"
Ketoprofen,Heart failure with preserved ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)"
Meclofenamate,Heart failure with preserved ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)"
Mefenamic Acid,Heart failure with preserved ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)"
Meloxicam,Heart failure with preserved ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)"
Nabumetone,Heart failure with preserved ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)"
Naproxen,Heart failure with preserved ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)"
Oxaprozin,Heart failure with preserved ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)"
Piroxicam,Heart failure with preserved ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)"
Sulindac,Heart failure with preserved ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)"
Tolmetin,Heart failure with preserved ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)"
Celecoxib,Heart failure with preserved ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)"
Cilostazol,Heart failure with reduced ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)"
Diltiazem,Heart failure with reduced ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)"
Verapamil,Heart failure with reduced ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)"
Aspirin,Heart failure with reduced ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)"
Diclofenac,Heart failure with reduced ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)"
Diflunisal,Heart failure with reduced ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)"
Etodolac,Heart failure with reduced ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)"
Fenoprofen,Heart failure with reduced ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)"
Ibuprofen,Heart failure with reduced ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)"
