,Condition,Recommendation,Rationale,ExStandardized
0,Heart failure with preserved ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",CILOSTAZOL
0,Heart failure with preserved ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",ACETYLSALICYLIC ACID
0,Heart failure with preserved ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",DICLOFENAC
0,Heart failure with preserved ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",DIFLUNISAL
0,Heart failure with preserved ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",ETODOLAC
0,Heart failure with preserved ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",FENOPROFEN
0,Heart failure with preserved ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",IBUPROFEN
0,Heart failure with preserved ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",KETOPROFEN
0,Heart failure with preserved ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",MECLOFENAMIC ACID
0,Heart failure with preserved ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",MEFENAMIC ACID
0,Heart failure with preserved ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",MELOXICAM
0,Heart failure with preserved ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",NABUMETONE
0,Heart failure with preserved ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",NAPROXEN
0,Heart failure with preserved ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",OXAPROZIN
0,Heart failure with preserved ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",PIROXICAM
0,Heart failure with preserved ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",SULINDAC
0,Heart failure with preserved ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",TOLMETIN
0,Heart failure with preserved ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",CELECOXIB
0,Heart failure with reduced ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",CILOSTAZOL
0,Heart failure with reduced ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",DILTIAZEM
0,Heart failure with reduced ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",VERAPAMIL
0,Heart failure with reduced ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",ACETYLSALICYLIC ACID
0,Heart failure with reduced ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",DICLOFENAC
0,Heart failure with reduced ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",DIFLUNISAL
